,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,t-SNE Component 1,t-SNE Component 2
144,nm7071905,Shweta Chauhan,\N,\N,producer,tt4354566,68.636635,-21.821173
145,nm2888752,Nik Isbelle,1987,\N,actress,"tt2197832,tt4200600,tt2226754,tt0412142",25.489077,15.482424
146,nm12964353,Junpei Kawate,\N,\N,actor,"tt2887954,tt13727048,tt23805136",85.07601,1.2970281
147,nm14974722,Anaïs Courtois,\N,\N,set_decorator,tt28184058,-19.46241,39.61278
148,nm11429619,Matt Draper,\N,\N,,\N,-61.488003,-1.1308643
149,nm7919839,Guss Diaz,\N,\N,actor,tt5460290,4.571146,-17.929087
150,nm4854019,Kenji Kuribayashi,\N,\N,director,"tt5799284,tt2184105",88.99898,3.2639236
151,nm13535721,Jeffrey Brutus,\N,\N,"producer,miscellaneous","tt15498394,tt0284556",-67.549416,-21.052132
152,nm7732667,Erik Fashingbaur,\N,\N,camera_department,tt5204704,20.92795,-14.380417
153,nm10888292,Leonid Kniazhytsky,\N,\N,assistant_director,"tt10720724,tt14225832",53.692585,32.967472
154,nm9308505,Tom Holman,\N,\N,editor,tt7440788,-54.667034,-27.548233
155,nm3706820,Clarence Ludy,\N,\N,assistant_director,tt0472370,-51.176483,37.327473
156,nm9788265,Goldie,\N,\N,actress,\N,-14.928786,-59.735558
157,nm5723321,George P. Schiavelli,\N,\N,,\N,4.5169616,-72.88104
158,nm9023736,Shubham Rajput,\N,\N,sound_department,"tt6793058,tt6627624,tt6437190,tt2570866",69.87624,-21.362028
159,nm9662326,Jordi Puig,\N,\N,actor,tt0423692,26.359959,2.4758997
160,nm8928653,Kiran Patel,\N,\N,actress,"tt6397426,tt10079382",57.929077,-25.795391
161,nm0251490,Brett Eichenberger,1975,\N,"director,editor,camera_department","tt5448810,tt3661570,tt0486191,tt1730761",4.4711595,-39.38246
162,nm10357617,Geoffrey Ulysses Geissinger,\N,\N,actor,tt9510558,3.7873526,-73.845566
163,nm10562873,Shannon Hill,\N,\N,producer,tt7775622,13.227302,-42.556107
164,nm8202793,Makarand Shinde,\N,\N,"assistant_director,director,editor","tt15117652,tt11596782,tt4373868,tt8784906",68.46699,-25.219843
165,nm5203375,Tamsin Collison,\N,\N,writer,tt2323370,6.5427256,2.527549
166,nm11111014,Edward Michongwe,\N,\N,producer,tt19410104,42.31992,-11.15546
167,nm2016987,Dija Dowling,\N,\N,"actress,director,writer","tt3349644,tt0800044,tt1205543,tt9085376",2.4285676,-28.011747
168,nm5880643,Mikako Ishii,\N,\N,"camera_department,sound_department,miscellaneous","tt23743662,tt5218238,tt3124532,tt19728782",86.337494,-3.6562562
169,nm11461152,Art Wall,\N,\N,,tt0428158,-28.109652,-39.56161
170,nm8415764,Ahmed Mulay Ali,\N,\N,,\N,58.057053,-4.906633
171,nm3952440,Greg Champagne,\N,\N,miscellaneous,tt1672513,-58.791016,-16.575592
172,nm8632048,Steve Blaisi,\N,\N,art_department,tt2446980,-55.50951,12.483499
173,nm3646821,Trina Koning,\N,\N,"writer,producer,actress","tt1844061,tt1836155,tt1521674",1.6806074,1.798375
174,nm10297703,A. Veela,\N,\N,editor,tt9371680,58.9089,-36.639183
175,nm12586003,I.W.K.,\N,\N,,\N,18.527185,-67.14832
176,nm12037304,Stefanie Erb,\N,\N,actress,tt13391738,-2.4267447,27.94651
177,nm8287995,Sean Diggity O'Brien,\N,\N,producer,tt4607980,-65.52467,31.322573
178,nm2970104,Stein Færø,\N,\N,,tt1212415,26.658722,37.145073
179,nm5479086,Jennifer Goldthorpe,\N,\N,,tt0796171,-1.8666584,0.2764857
180,nm5591156,Thomas Smith,\N,\N,camera_department,tt2795908,-33.879833,-24.771305
181,nm13550664,Kirra Farquharson,\N,\N,editorial_department,"tt21263178,tt14109724,tt15215512,tt9889392",35.27946,13.627103
182,nm1816057,Octave Lissner,\N,\N,"actor,composer","tt0403410,tt13667548",5.530072,21.574743
183,nm14868293,Ambili,\N,\N,actress,tt23538910,-13.259966,-53.11706
184,nm10985873,Sara Franks,\N,\N,miscellaneous,tt3701150,32.356857,-9.498951
185,nm3100731,Brian Shirey,\N,\N,"actor,producer,production_manager","tt0015648,tt1467281,tt8557698",-38.39369,-5.107889
186,nm13200380,Shayne Scott,\N,\N,"producer,production_manager",tt2058086,13.608786,-43.476685
187,nm6918631,Rinya Vyas,\N,\N,actress,"tt3579438,tt4452996,tt6483426,tt4445016",72.075935,-28.834251
188,nm14320876,Sandra Montes Hermosillo,\N,\N,,\N,-4.0098996,80.67245
189,nm5482328,Edelen Angeles,\N,\N,,tt2624784,-34.34879,-15.508346
190,nm1030835,Sadri Leinkayt,\N,\N,actor,tt0275868,60.628376,11.72315
191,nm15051642,James McIntyre,\N,\N,art_department,tt0089423,-50.501034,-43.82719
192,nm13704018,Pilar Trabanca,\N,\N,miscellaneous,tt0375504,-0.9930608,71.5805
193,nm14102702,Tova Ek,\N,\N,"miscellaneous,assistant_director,casting_department","tt13614746,tt23461948,tt11862812,tt26680321",16.238407,-28.739996
194,nm2546768,Colleen Dzwonzyck,\N,\N,,tt0961209,4.313424,7.372744
195,nm11777080,Sabrina Malheiros,\N,\N,,tt12803940,-27.292452,24.758007
196,nm13295935,Natalie Ackerman,\N,\N,,\N,35.85149,-28.589392
197,nm11120438,Mina Synolaki,\N,\N,costume_designer,tt11256450,51.837215,9.432714
198,nm2868170,Naomi Schebil,\N,\N,actress,tt1156291,-14.11345,-8.977565
