,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,completeName,t-SNE Component 1,t-SNE Component 2
7988,nm9515172,Veglini,\N,\N,actress,tt1467273,Andrea Veglini,-72.53468,-23.804424
7989,nm5623823,Laso,\N,\N,actor,tt2839544,Joey Laso,29.88301,46.519768
7990,nm6373505,Ferlanda,\N,\N,assistant_director,"tt0441059,tt0169462",Marie Ferlanda,5.2647014,18.155275
7991,nm1468686,Beemer,\N,\N,actress,tt0382799,Holly Beemer,15.266792,21.152964
7992,nm5041480,Lazeroms,\N,\N,"camera_department,director,writer","tt3344418,tt2380163,tt2398255",Thomas Lazeroms,33.508835,42.0656
7993,nm1247132,W.,\N,\N,"assistant_director,location_management","tt0260949,tt0096101",Douglas W. Till,37.981407,75.374
7994,nm10046349,David,\N,\N,"actor,casting_department","tt7482686,tt11114708,tt8667120,tt10503988",Nicholas David King,28.285666,-40.875015
7995,nm0583864,Mfuku,\N,\N,actress,"tt0388364,tt0379765,tt0111250,tt0104358",Connie Mfuku,-41.917862,49.691956
7996,nm6399686,Bunyi,\N,\N,"actor,editor","tt7984720,tt21879810,tt3810704,tt13664658",Christopher Bunyi,-11.993666,26.070683
7997,nm2618982,Gordon,\N,\N,"art_department,miscellaneous",tt0088454,Rodney Gordon,23.991026,-60.067886
7998,nm13714643,Hunter,\N,\N,actress,tt10926320,Elaine Hunter,89.02081,-6.773407
7999,nm6882593,Jones,\N,\N,assistant_director,tt3922028,Louise Jones,43.49273,-85.14727
8000,nm11277149,Smith,\N,\N,sound_department,tt0098744,Clark Smith,65.6225,-72.49266
8001,nm8930572,Myers,\N,\N,actress,tt5861882,Amanda Myers,41.645935,-49.723095
8002,nm9413077,Krieber,\N,\N,"writer,miscellaneous","tt8448346,tt0431577,tt0248780",Janine Krieber,-43.004177,14.820096
8003,nm5929652,Garrick,\N,\N,"producer,director,writer","tt6077540,tt3131692,tt13010624,tt3170952",Mike Garrick,-14.54481,-3.5164442
8004,nm8487941,Turner,\N,\N,make_up_department,"tt3211654,tt6174170",Clair Turner,68.39297,-55.522655
8005,nm7928181,Yoshikawa,\N,\N,,tt0424627,Cole Yoshikawa,-38.55632,55.29822
8006,nm3687324,Suzuki,\N,\N,"costume_department,costume_designer",tt1549111,Momo Suzuki,-49.11138,55.224407
8007,nm5900135,Kompaniets,\N,\N,"art_department,art_director","tt0130985,tt3142840,tt4576494,tt8184150",Lyudmila Kompaniets,-50.49347,21.179617
8008,nm6338688,Rabom,\N,\N,actress,tt3350850,Marine Rabom,-15.074786,22.389492
8009,nm1087644,Abraham,1967,\N,art_department,"tt0252154,tt0252649",Shelley Abraham,7.005703,-36.700066
8010,nm11643990,Angell,\N,\N,camera_department,tt5644050,Morry Angell,61.545403,-0.10073399
8011,nm3229120,Whalen,\N,\N,"editor,editorial_department","tt2208868,tt2053458,tt1708392,tt1537905",Bryan Whalen,19.577429,-6.721479
8012,nm3782911,Giuffre,\N,\N,actor,tt1592865,Barbara Giuffre,-13.782763,7.2859216
8013,nm7656624,McIlwee,\N,\N,art_department,tt5111874,Thomas McIlwee,30.38859,-17.862717
8014,nm2494306,Bandes,\N,\N,actor,tt0933125,Phillipe Bandes,-24.735922,-18.859257
8015,nm10240792,Henbest,\N,\N,editor,tt9240256,Ross Henbest,7.8449416,-17.872814
8016,nm11985807,Esposito,\N,\N,visual_effects,tt13290848,Fabio Esposito,-31.540451,-41.721767
8017,nm2342694,Kass,\N,\N,actress,tt0459877,Kristi Kass,-48.03719,19.652601
8018,nm5139968,Louise,\N,\N,actor,tt0458258,Joan Louise,61.872654,-9.138594
8019,nm13565061,Druktenis,\N,\N,actor,tt12304420,Grytis Druktenis,15.145414,4.290565
8020,nm2666933,Laszlo,\N,\N,actor,"tt1136831,tt1045849,tt0468297,tt1149331",Thomas Laszlo,-59.612026,5.5661964
8021,nm10167111,B,1993,\N,"actor,stunts","tt8220356,tt19716318",Matthew B Mills,45.03101,82.4324
8022,nm5054554,Foster,\N,\N,,\N,Margot Foster,55.646797,-69.02364
8023,nm11847243,Gustafson,\N,\N,miscellaneous,tt9308382,Jordan Gustafson,6.65794,-33.3904
8024,nm9553032,Jess,\N,\N,producer,tt7869930,Linda Jess,65.268326,-13.217932
8025,nm8337679,Haygood,\N,\N,writer,"tt7415906,tt5936980",Christopher Haygood,9.752494,45.602486
8026,nm9343551,Doll,\N,\N,composer,tt7521742,Voodoo Doll,72.327675,-2.4802732
8027,nm14373720,Abu,\N,\N,actress,tt21053544,Sherihan Abu Al Hassan,-26.87324,23.239897
8028,nm10465652,Bridges,\N,\N,,tt9758694,Calvin Bridges,56.897957,10.599572
8029,nm2078167,Wrona,1960,\N,,"tt0301043,tt0368059",Hirek Wrona,37.001656,27.297012
8030,nm0478880,La,1922,2000,"actor,miscellaneous","tt0045715,tt0072200,tt0046403,tt0198749",Antonio La Raina,53.946957,-10.327156
8031,nm3114455,Lewis,\N,\N,"editor,sound_department",tt1282034,Keith Lewis,55.707928,-80.0778
8032,nm7765387,Dzukam,\N,\N,actress,tt1659611,Maeva Dzukam,-47.419373,47.22356
8033,nm2571759,Jasso,\N,\N,camera_department,tt0973839,Jashua Jasso,41.87864,12.180198
8034,nm4291459,van,\N,\N,actress,tt0125647,Connie van Manen,-71.00321,-38.480785
8035,nm9566539,Contreras,\N,\N,,\N,Steven Contreras,-46.77077,-56.97254
8036,nm13003018,Li,\N,\N,actor,tt4276752,Yuanlong Li,37.744293,52.03038
8037,nm8775915,Mills,\N,\N,,tt6525376,Karen Mills,59.663933,-57.433094
8038,nm8571078,R.,\N,\N,,\N,Jenna R. Golech,37.573044,70.83798
8039,nm14931603,Vinod,\N,\N,actor,tt13781128,Siddarth Vinod,-63.81499,-25.842804
8040,nm7870908,Nelson,\N,\N,"director,cinematographer,editor",tt5363170,Jordan Nelson,7.1629066,-65.22243
8041,nm11566821,,\N,\N,editor,tt12293638,Selvarass,-18.5428,85.90193
8042,nm10184954,Mendez,\N,\N,"director,actor,writer",tt9114598,Ruth Mendez,-32.88349,-64.400795
8043,nm5561535,Santamaria,\N,\N,location_management,tt0285335,Jo Santamaria,-32.938545,-36.521614
8044,nm2236594,Janami,\N,\N,actress,tt0791478,Hamaideh Janami,-5.0201545,47.31524
8045,nm1808546,Ferro,\N,\N,writer,"tt0441374,tt1899115",Fernando Ferro,-20.181437,-6.268097
8046,nm1084345,Wallace,\N,\N,"producer,actor,production_manager","tt4480706,tt0421185,tt4063580,tt0439063",Jeremy Wallace,33.815327,-66.70992
8047,nm0939398,S.,\N,\N,"actor,stunts","tt0171465,tt0090728,tt0118708,tt0109573",William S. Wong,42.425186,66.686615
8048,nm12494983,Khan,\N,\N,cinematographer,tt14296292,Parvez Khan,-66.04519,58.321125
8049,nm4908631,Brooks,\N,\N,actor,tt0783511,Sam Brooks,34.162537,-77.12313
8050,nm10641348,Pavlovic-Hobba,\N,\N,music_department,tt7704512,Thibaud Pavlovic-Hobba,-66.43686,4.487944
8051,nm3748014,Clover,\N,\N,actor,"tt8814348,tt1578582",Jordan Clover,69.06041,2.1810224
8052,nm4941496,Lu,1982,\N,soundtrack,"tt5870402,tt1841171,tt2661574,tt1848064",Tank Lu,33.587505,52.20825
