,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,completeName,UMAP Component 1,UMAP Component 2
8877,nm9460393,Ramirez,\N,\N,,\N,Kevin Ramirez,-14.520068,-5.77113
8878,nm12826243,Youb,\N,\N,,\N,Nouamane Youb,-7.977178,0.033643268
8879,nm7705457,Vasquez,\N,\N,make_up_department,"tt10648510,tt10648928,tt22191964,tt8844842",Sher Vasquez,-14.315367,-5.176433
8880,nm0056416,Barooah,1941,2010,"producer,director","tt2190156,tt0113311,tt11700252",Sailadhar Barooah,0.25821984,4.738171
8881,nm7252460,Bookhoop,\N,\N,actress,tt4593156,Claire Bookhoop,-3.838626,-1.2077061
8882,nm8499624,Lichaa,\N,\N,,\N,Flora Lichaa,-14.979989,1.9909735
8883,nm13654449,Burns,\N,\N,miscellaneous,tt19353754,Rich Burns,-15.763292,4.172865
8884,nm0796252,Sibersang,\N,\N,actor,tt0110256,George Sibersang,-4.2203293,-0.6604364
8885,nm8546869,Vargas,\N,\N,actor,"tt5906126,tt5822138,tt12137974,tt3055382",Lincoln Vargas,-14.094333,-4.566067
8886,nm5311205,,\N,\N,,tt2436460,Istérica,20.110317,2.709625
8887,nm13448184,Giraud,\N,\N,costume_department,tt18371422,Nathalie Giraud,-10.58063,0.6310274
8888,nm5163227,Purdy,\N,\N,actress,tt2274560,Alexandra Purdy,-16.886854,3.9181006
8889,nm11331674,Quiring,\N,\N,,tt2390276,Nancy Quiring,-12.732045,1.2644014
8890,nm12740553,Pun,\N,\N,actor,tt11045422,Binod Pun,-5.125181,21.246717
8891,nm14798446,Martin,\N,\N,,tt13368190,Zachary Martin,-8.495416,7.74355
8892,nm3392549,Barry,\N,\N,actress,tt1410238,Becky Barry,-7.4737163,2.7102869
8893,nm1754296,Protch,\N,\N,actress,tt0243192,Punaa Protch,-3.489588,-1.2703989
8894,nm10964258,,\N,\N,,\N,Andie,20.087994,2.7746687
8895,nm12360843,Ann,\N,\N,actress,"tt27204373,tt25178854,tt13269124,tt23752958",Aradhya Ann,-8.869565,1.5332371
8896,nm10750869,Gaubert,\N,\N,miscellaneous,tt8596716,Eugénie Gaubert,-10.684456,0.6482768
8897,nm1560507,Mitsiaki,\N,\N,,tt0398460,Ioanna Mitsiaki,-3.635903,-1.1418208
8898,nm8216170,Tinterri,\N,\N,,\N,Alessandro Tinterri,-3.95992,-1.3604399
8899,nm13075079,Hungerbühler,\N,\N,,tt1022932,Max Hungerbühler,-4.405094,-0.58909297
8900,nm13026969,,\N,\N,actress,tt15678728,Khadijah,20.05083,2.717314
8901,nm9034087,Fleener,\N,\N,,tt1229032,Danny Fleener,-16.00256,1.6941837
8902,nm4192103,El,\N,\N,miscellaneous,tt1704606,Pánfilo El Burro,-4.5287395,8.677531
8903,nm2788886,Cassidy,\N,\N,"miscellaneous,actress,assistant_director","tt0813715,tt1302187,tt0424699,tt1114271",Meg Cassidy,-15.078257,1.3652054
8904,nm12564319,Vengurlekar,\N,\N,"camera_department,cinematographer,editor","tt22297828,tt14822296,tt4742876,tt7927936",Aashay Vengurlekar,0.0198824,4.822946
8905,nm8364358,Castro,\N,\N,,\N,Belem Castro,-14.059226,-4.484968
8906,nm11691514,Rizzo,\N,\N,actor,tt4290974,Renato Rizzo,-14.457884,-5.695486
8907,nm6439355,Hirano,\N,\N,animation_department,"tt0168376,tt0106075,tt0291610,tt1147523",Kazushige Hirano,3.7577941,10.472112
8908,nm5347924,Brian,\N,\N,camera_department,"tt1794880,tt2342259",Eddie Brian Semaan,-6.929779,2.2277584
8909,nm2923587,Candler,\N,\N,actress,"tt3692710,tt0233041,tt1185090,tt4985594",Regine Candler,-16.031963,2.0539029
8910,nm8068797,Ziaei,\N,\N,actress,"tt3509796,tt10342578,tt10799024,tt23833430",Asiyeh Ziaei,-3.4129813,-0.08273864
8911,nm4359547,Sánchez,\N,\N,actor,tt0331806,Enrike Sánchez,-12.302819,-5.429461
8912,nm13259398,Stone,\N,\N,actor,tt7051036,Ezekiel Stone,-17.684235,1.4237415
8913,nm5137594,Skånberg,\N,\N,actress,"tt3451546,tt2287715",Ami Skånberg Dahlstedt,-3.8205528,-0.3927055
8914,nm0958662,Zumárraga,\N,\N,actress,"tt0372640,tt0371462,tt0057972,tt0373502",Rosa Zumárraga,-12.271061,-5.3177466
8915,nm6367874,Herrington,\N,\N,actor,tt3568568,Gabriel Herrington,-15.804726,2.493911
8916,nm6084623,Shinozaki,\N,\N,music_department,tt1426329,Rick Shinozaki,3.8484313,10.717686
8917,nm12938312,Tamayo,\N,\N,actress,tt10691250,Jacquelyn Tamayo,-14.28902,-5.145272
8918,nm14895388,Maughan,\N,\N,,\N,John Maughan,-16.321453,3.5068693
8919,nm8244551,Mirza,\N,\N,actress,tt5837160,Uriah Mirza,-1.0892224,5.773865
8920,nm11048585,Singh,\N,\N,actor,tt10324144,R.D. Singh,-9.819581,-14.981312
8921,nm2221143,Sharp,\N,\N,"costume_designer,costume_department,casting_department","tt5758078,tt14791590,tt5258194,tt4916744",Dawn Sharp,-17.207153,2.4528756
8922,nm6961125,,\N,\N,actor,"tt3972398,tt6078096,tt0063951",Bowdie,20.247875,2.9301493
8923,nm9766650,Mergel,\N,\N,make_up_department,tt8262410,Autumn Mergel,-12.605811,1.3009981
8924,nm4799989,Yuan,\N,\N,actor,tt2128498,Wenhui Yuan,-5.0925093,21.568027
8925,nm12109210,,\N,\N,,\N,Phil,20.407475,2.8511007
8926,nm9506130,Cabrera,\N,\N,art_director,tt7778940,Tomás Cabrera Cañas,-14.297805,-5.318538
8927,nm12551449,Sbrodov,\N,\N,"actor,assistant_director,composer","tt21909452,tt27759725,tt14293568,tt15271904",Gennady Sbrodov,-3.8517945,-0.18541482
8928,nm12673167,Annesi,\N,\N,"actress,camera_department,sound_department","tt16741614,tt14778968,tt18279048",Lydia Annesi,-10.748276,-1.0873592
8929,nm2887642,Lane,\N,\N,actor,"tt3881784,tt1133991",Richard Lane Jr.,8.982474,3.6033664
8930,nm13827849,del,\N,\N,,\N,Paul del Busto,-4.549561,8.676985
8931,nm3355300,Spindler,\N,\N,actor,tt1391673,Shawn Spindler,-12.677279,1.4716754
8932,nm11994298,Becker,\N,\N,"actress,director,writer","tt13361458,tt13309176",Friederike Becker,-11.786936,2.4749691
8933,nm5020573,Capitán,\N,\N,transportation_department,tt1688649,Lolo Capitán,-12.885877,-4.589314
8934,nm1243723,Chavez,1899,1978,"composer,soundtrack","tt0757204,tt0430496,tt0425453,tt3776668",Carlos Chavez,-14.550219,-5.294664
8935,nm3483166,Will,\N,\N,producer,tt0335057,Al Will,-4.911306,0.05550645
8936,nm13790232,Kumawat,1995,\N,,\N,Ravi Kumawat,0.4416323,4.6293826
8937,nm7192493,McConnell,\N,\N,,\N,James McConnell,-14.701095,1.898348
